traffic_type,packet_size,interval_ms,num_stations,ru,mcs,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_rate,priority,twt_ms
VoIP,160,20,5,1,0,0.075324,0.137640,0.145988,0.000000,3,8
Video,1400,40,5,1,0,0.286560,0.108766,0.031672,0.000000,2,20
HTTP,800,100,5,1,0,0.066802,0.467494,0.276113,0.000000,1,55
VPN,900,80,5,1,0,0.093431,0.146576,0.078295,0.000000,1,60
IoT,64,1000,5,1,0,0.000810,0.734888,0.738772,0.000000,0,280
VoIP,160,20,5,1,3,0.075324,0.145559,0.153063,0.000000,3,8
Video,1400,40,5,1,3,0.286560,0.115020,0.037731,0.000000,2,20
HTTP,800,100,5,1,3,0.066802,0.401143,0.229775,0.000000,1,55
VPN,900,80,5,1,3,0.093431,0.136708,0.060242,0.000000,1,60
IoT,64,1000,5,1,3,0.000810,0.374635,0.343030,0.000000,0,280
VoIP,160,20,5,1,6,0.075324,0.156343,0.168067,0.000000,3,8
Video,1400,40,5,1,6,0.286560,0.086605,0.011330,0.000000,2,20
HTTP,800,100,5,1,6,0.066802,0.396748,0.244124,0.000000,1,55
VPN,900,80,5,1,6,0.093431,0.160987,0.091405,0.000000,1,60
IoT,64,1000,5,1,6,0.000810,1.007182,1.039212,0.000000,0,280
VoIP,160,20,5,1,9,0.075324,0.137587,0.139278,0.000000,3,8
Video,1400,40,5,1,9,0.286559,0.098558,0.021086,0.000000,2,20
HTTP,800,100,5,1,9,0.066803,0.429853,0.236090,0.000000,1,55
VPN,900,80,5,1,9,0.093431,0.153430,0.077257,0.000000,1,60
IoT,64,1000,5,1,9,0.000810,0.554789,0.540385,0.000000,0,280
VoIP,160,20,5,1,11,0.075324,0.138682,0.142250,0.000000,3,8
Video,1400,40,5,1,11,0.286560,0.102106,0.024903,0.000000,2,20
HTTP,800,100,5,1,11,0.066802,0.392154,0.215051,0.000000,1,55
VPN,900,80,5,1,11,0.093431,0.103209,0.026293,0.000000,1,60
IoT,64,1000,5,1,11,0.000810,0.919975,0.944555,0.000000,0,280
VoIP,160,20,5,3,0,0.075324,0.131226,0.131247,0.000000,3,8
Video,1400,40,5,3,0,0.286559,0.095621,0.018163,0.000000,2,20
HTTP,800,100,5,3,0,0.066802,0.468215,0.287657,0.000000,1,55
VPN,900,80,5,3,0,0.093431,0.152090,0.075879,0.000000,1,60
IoT,64,1000,5,3,0,0.000810,0.745066,0.752368,0.000000,0,280
VoIP,160,20,5,3,3,0.075324,0.134784,0.138212,0.000000,3,8
Video,1400,40,5,3,3,0.286560,0.098536,0.021077,0.000000,2,20
HTTP,800,100,5,3,3,0.066804,0.465238,0.263732,0.000000,1,55
VPN,900,80,5,3,3,0.093431,0.101201,0.034571,0.000000,1,60
IoT,64,1000,5,3,3,0.000810,0.761049,0.769012,0.000000,0,280
VoIP,160,20,5,3,6,0.075324,0.149653,0.156553,0.000000,3,8
Video,1400,40,5,3,6,0.286560,0.088645,0.011425,0.000000,2,20
HTTP,800,100,5,3,6,0.066804,0.455125,0.257960,0.000000,1,55
VPN,900,80,5,3,6,0.093431,0.090626,0.013508,0.000000,1,60
IoT,64,1000,5,3,6,0.000810,0.734595,0.740259,0.000000,0,280
VoIP,160,20,5,3,9,0.075324,0.139943,0.150016,0.000000,3,8
Video,1400,40,5,3,9,0.286560,0.085714,0.008824,0.000000,2,20
HTTP,800,100,5,3,9,0.066803,0.410756,0.217081,0.000000,1,55
VPN,900,80,5,3,9,0.093431,0.116523,0.039700,0.000000,1,60
IoT,64,1000,5,3,9,0.000810,0.222267,0.178159,0.000000,0,280
VoIP,160,20,5,3,11,0.075324,0.135146,0.140883,0.000000,3,8
Video,1400,40,5,3,11,0.286559,0.095090,0.017910,0.000000,2,20
HTTP,800,100,5,3,11,0.066804,0.466389,0.293651,0.000000,1,55
VPN,900,80,5,3,11,0.093431,0.117894,0.041341,0.000000,1,60
IoT,64,1000,5,3,11,0.000810,0.281706,0.243384,0.000000,0,280
VoIP,160,20,5,5,0,0.075324,0.134497,0.137669,0.000000,3,8
Video,1400,40,5,5,0,0.286560,0.095424,0.018178,0.000000,2,20
HTTP,800,100,5,5,0,0.066803,0.464869,0.255816,0.000000,1,55
VPN,900,80,5,5,0,0.093431,0.139130,0.069186,0.000000,1,60
IoT,64,1000,5,5,0,0.000810,0.372173,0.342126,0.000000,0,280
VoIP,160,20,5,5,3,0.075324,0.139440,0.144467,0.000000,3,8
Video,1400,40,5,5,3,0.286559,0.120210,0.046564,0.000000,2,20
HTTP,800,100,5,5,3,0.066802,0.473104,0.294120,0.000000,1,55
VPN,900,80,5,5,3,0.093431,0.117806,0.041179,0.000000,1,60
IoT,64,1000,5,5,3,0.000810,0.820530,0.836379,0.000000,0,280
VoIP,160,20,5,5,6,0.075324,0.142019,0.150121,0.000000,3,8
Video,1400,40,5,5,6,0.286559,0.088590,0.011274,0.000000,2,20
HTTP,800,100,5,5,6,0.066804,0.471111,0.274384,0.000000,1,55
VPN,900,80,5,5,6,0.093431,0.109784,0.033192,0.000000,1,60
IoT,64,1000,5,5,6,0.000810,0.458885,0.438039,0.000000,0,280
